nom,ville,dept,salles,chambres,site,photos_publiables
CHATEAU DE LA TOUR,GOUVIEUX,60,6,47,https://www.lechateaudelatour.fr/fr/,6
Château mont royal,La Chapelle-en-Serval,60,14,108,,6
DOMAINE DE REBETZ,CHAUMONT-EN-VEXIN,60,7,80,,6
DOMAINE SAINT GERMER,REILLY,60,8,15,https://stgermer.reilly.fr/,6
LE RELAIS D'AUMALE,ORRY-LA-VILLE,60,3,22,,6
BUSINESS VILLAGE,LOUAN-VILLEGRUIS-FONTAINE,77,23,400,https://www.business-village.biz/,6
DREAM CASTLE DISNEY,MAGNY-LE-HONGRE,77,10,398,https://www.dreamcastle-hotel.com/seminaires,6
LE CHÂTEAU DE LA BOULEAUNIÈRE,GREZ-SUR-LOING,77,1,14,https://www.one-experience.fr/la-bouleauniere/,6
LE DOMAINE DE CRECY,CRÉCY-LA-CHAPELLE,77,4,29,,6
MERCURE CHÂTEAU DE FONTAINEBLEAU,FONTAINEBLEAU,77,1,99,,6
PAXTON RESORT & SPA,BUSSY-SAINT-GEORGES,77,22,232,,6
STAYCITY PARIS MARNE LA VALLÉE,BAILLY-ROMAINVILLIERS,77,4,207,,6
AUBERGE DU MANET,MONTIGNY-LE-BRETONNEUX,78,1,45,https://www.aubergedumanet.com,6
BEST WESTERN THE WISH VERSAILLES,GUYANCOURT,78,3,60,http://www.hotelthewish.com,6
DOMAINE DE GALICET,FRENEUSE,78,3,0,,6
GRAND'MAISONS,VILLEPREUX,78,8,31,,6
HÔTEL MERCURE MAUREPAS SAINT-QUENTIN,MAUREPAS,78,5,89,https://all.accor.com/hotel/9781/index.fr.shtml,6
LE MOULIN D'ORGEVAL,ORGEVAL,78,4,14,,6
LOUIS VERSAILLES CHÂTEAU,VERSAILLES,78,8,152,,6
NOVOTEL CHÂTEAU DE VERSAILLES,LE CHESNAY-ROCQUENCOURT,78,6,106,,6
CENTRE NATIONAL DE RUGBY - MARCOUSSIS,MARCOUSSIS,91,20,166,,6
BOCCA SUR SEINE @QUAI OUEST,SAINT-CLOUD,92,2,0,,6
BRUMAIRE,SAINT-CLOUD,92,2,0,,6
"CROWNE PLAZA PARIS - NEUILLY ****, IHG",NEUILLY-SUR-SEINE,92,26,281,,6
DESKEO EVENEMENT,PUTEAUX,92,30,0,,6
ESPACE CARNOT,SAINT-CLOUD,92,3,0,,6
EVERGREEN LAUREL HÔTEL ****,LEVALLOIS-PERRET,92,9,338,,6
HOLIDAY INN PARIS PORTE DE CLICHY,CLICHY,92,10,262,https://www.ihg.com/holidayinn/hotels/fr/fr/clichy/parpc/hoteldetail,6
HÔTEL MERCURE PARIS BOULOGNE,BOULOGNE-BILLANCOURT,92,28,180,,6
HÔTEL MERCURE PARIS LA DÉFENSE GRANDE ARCHE,PARIS,92,11,160,,6
HÔTEL MERCURE PARIS PORTE D'ORLÉANS,MONTROUGE,92,6,188,,6
LA FAISANDERIE,SAINT-CLOUD,92,2,0,https://stadefrancais.com/faisanderie/,6
LES JARDINS DE SAINT-CLOUD,SAINT-CLOUD,92,4,45,,6
MAMA SHELTER LA DÉFENSE,PUTEAUX,92,6,211,https://fr.mamashelter.com/paris-la-defense/,6
MEETING VILLAGES,CLICHY,92,9,0,http://www.meeting-villages.fr,6
NOVOTEL PARIS PONT DE SÈVRES,SÈVRES,92,17,131,,6
NOVOTEL PARIS RUEIL MALMAISON,RUEIL-MALMAISON,92,14,118,https://all.accor.com/hotel/1609/index.fr.shtml,6
NOVOTEL SUITES PARIS RUEIL-MALMAISON,RUEIL-MALMAISON,92,14,118,,6
PARIS LA DEFENSE ARENA,NANTERRE,92,10,0,https://www.parisladefense-arena.com/,6
PULLMAN LA DÉFENSE,COURBEVOIE,92,11,382,,6
RADISSON BLU BOULOGNE,BOULOGNE-BILLANCOURT,92,6,170,https://www.radissonhotels.com/en-us/hotels/radisson-blu-paris-boulogne,6
VILLAGE DE CIRQUE MICHELETTY,VILLENEUVE-LA-GARENNE,92,1,0,https://journee-au-cirque.com/,6
CAMPANILE ARGENTEUIL,ARGENTEUIL,95,2,103,http://www.campanile-argenteuil.fr/fr -,6
CHÂTEAU BOUFFÉMONT,BOUFFÉMONT,95,5,9,,6
COURTYARD BY MARRIOTT CENTRAL AIRPORT PARIS CDG,ROISSY-EN-FRANCE,95,7,229,https://www.marriott.fr/hotels/travel/parxa-courtyard-paris-roissy-charles-de-gaulle-airport-hotel/,6
HÔTEL DU PALAIS,BIARRITZ,95,9,147,https://www.hyatt.com/fr-FR/hotel/france/hyatt-regency-paris-charles-de-gaulle/paris,6
KOEZIO CERGY,CERGY,95,0,0,https://koezio.co/cergy,6
