nom,ville,dept,email,telephone,site,photos_publiables
RADISSON BLU MLV,MAGNY-LE-HONGRE,77,evenement.mlv@radissonblu.com,0160436400,https://www.radissonhotels.com/fr-fr/hotels/radisson-blu-paris-marne-la-vallee/seminaires,5
DEMEURES DE CAMPAGNE - DOMAINE DE MAFFLIERS,MAFFLIERS,95,charlene.pires@accor.com,768142990,https://www.demeures-de-campagne.com/hotels/domaine-de-maffliers,4
Chateauform' nouvelle demande,Clairefontaine-en-Yvelines,78,monnouveauprojet@chateauform.com,01 79 35 35 10,https://www.chateauform.com/fr/maison/chateau-de-ronqueux/,3
RESIDHOME APPART HOTEL SUITES PARIS SÉNART,LIEUSAINT,77,meeting.senart@residhome.com,0164138858,https://www.myresidhome.com/lieusaint/residhome-suites-paris-senart/apparthotel-residence-hoteliere.html,1
VILLAGES NATURE (CENTER PARCS),BAILLY-ROMAINVILLIERS,77,seminaires@groupepvcp.com,0161107673,https://www.centerparcs.fr/fr-fr/france/fp_VN_vacances-domaine-villages-nature-paris,1
NOVOTEL MARNE-LA-VALLÉE COLLÉGIEN,COLLÉGIEN,77,h0385@accor.com,0164805353,https://all.accor.com/hotel/0385/index.fr.shtml,1
DOMAINE DE LA CORNICHE,ROLLEBOISE,78,contact@destinationgourmande.com,0130939344,https://www.domainedelacorniche.com/,1
LE VILLAGE OXYGEN PARIS LA DÉFENSE,COURBEVOIE,92,magali@oxygen-ladefense.fr,0627782079,https://oxygen-ladefense.fr/,1
LE MOULIN DE LA FORGE,LE VAUMAIN,60,info@moulindelaforge.com,03 44 49 26 26,https://www.moulindelaforge.com,0
LE GRAND PAVILLON CHANTILLY,VINEUIL-SAINT-FIRMIN,60,events@legrandpavillon.com,03 65 36 12 34,https://legrandpavillonchantilly.com/fr/,0
JANGLE HOTEL,LE MESNIL-AMELOT,77,commercial@janglehotel.com,01 60 03 63 00,https://en.janglehotel.com/,0
MAS SAINT ANTOINE,BOURG-SAINT-ANDÉOL,77,massaintantoine07@gmail.com,0629114188,https://www.massaintantoine.fr,0
MANOIR DE GRESSY,GRESSY,77,information@manoirdegressy.com,01 60 26 68 00,https://manoirdegressy.com,0
HÔTEL L'ÉLYSÉE VAL D'EUROPE,SERRIS,77,seminaire@hotelelysee.com,0164633333,https://www.hotelelysee.com/fr/,0
NOMADE LODGE,LA CHAPELLE-GAUTHIER,77,seminaire@nomade-lodge.com,666072006,https://nomade-lodge.com/,0
LES HERBES FOLLES,MAUREGARD,77,seminaire@hotelherbesfolles.fr,0160361718,https://www.hotelherbesfolles.fr,0
HOTEL MERCURE BUSSY SAINT-GEORGES,BUSSY-SAINT-GEORGES,77,ha211-dm@accor.com,0164661111,https://all.accor.com/hotel/A211/index.fr.shtml?dateIn=&nights=&compositions=1&stayplus=false&snu=false#origin=mercure,0
HUTTOPIA RAMBOUILLET,RAMBOUILLET,78,seminaires@huttopia.com,0437646762,https://meetings.huttopia.com/,0
WALDORF ASTORIA VERSAILLES,VERSAILLES,78,reservations.trianon@waldorfastoria.com,+33 1 30 84 50 00,https://www.hilton.com/en/hotels/cdgtpwa-waldorf-astoria-versailles-trianon-palace/,0
LE VILLAGE DU SEMINAIRE,ROSNY-SUR-SEINE,78,steph@groupeamadeus.com,0609785334,https://www.lesiteduseminaire.com/village-du-seminaire,0
GOLF DE L'ILE FLEURIE,CHATOU,78,commercial@golf-ilefleurie.com,0139522848,https://golf-ilefleurie.com/,0
HÔTEL MERCURE PARIS VÉLIZY,VÉLIZY-VILLACOUBLAY,78,h8817@accor.com,0139469698,https://all.accor.com/hotel/8817/index.fr.shtml,0
LE MANOIR DE SAUVEGRAIN,SAINT-LAMBERT-DES-BOIS,78,hotel@sauvegrain.eu,0130646003,https://www.lemanoirdesauvegrain.com/,0
HECTAR,LÉVIS-SAINT-NOM,78,camille.bougeard@hectar.co,0675302362,https://hectar.co,0
MAISON PRAIRIE BONHEUR,MAGNY-LES-HAMEAUX,78,annebonassies@wanadoo.fr,0130442608,https://chambres-hotes-prairie-bonheur.com,0
