nom,ville,dept,email,telephone,site
ABBAYE ROYALE DU MONCEL,PONTPOINT,60,abbayedumoncel@clubduvieuxmanoir.fr,0344723398,https://abbayedumoncel.fr/mariages-et-seminaires/seminaires-dentreprise/
AIDEN BY BEST WESTERN T'AIM HOTEL,MARGNY-LÈS-COMPIÈGNE,60,commercial@taimhotel.com,+33 3 75 46 01 42,https://www.bestwestern.fr/en/hotel-Margny-Les-Compiegne-Aiden-by-Best-Western-a-T-aim-93857
AUBERGE DU JEU DE PAUME,CHANTILLY,60,sales@aubergedujeudepaume.fr,0344655008,https://aubergedujeudepaumechantilly.fr/fr/
AUBERGE DU MONT SAINT MARD,VIEUX-MOULIN,60,contact@aubergedumontsaintmard.com,0344837551,https://www.aubergedumontsaintmard.com/
BEST WESTERN HOTEL DU PARC,CHANTILLY,60,service.commercial@chantillyhotelduparc.com,0344582000,https://hotel-parc-chantilly.com
Campus serge kampf les fontaines,Gouvieux,60,commercial@les-fontaines.com,03 44 62 93 93,https://www.les-fontaines.com
CHATEAU D'ERMENONVILLE,ERMENONVILLE,60,reception@domainechateauermenonville.com,03 44 54 00 26,https://www.domainechateauermenonville.com/
CHATEAU DE LA TRYE,HERMES,60,contact@chateaudelatrye.com,749793132,
CHÂTEAU DE MONTATAIRE,MONTATAIRE,60,contact@chateaudemontataire.fr,0344250005,https://chateaudemontataire.fr/
CHATEAU DE SAINTE CLAIRE,BERNEUIL-SUR-AISNE,60,chateausainteclaire@orange.fr,0625409311,https://www.domaine-de-sainte-claire.fr
DOMAINE DE MONTIGNY,RUSSY-BÉMONT,60,contact@domainedemontigny.fr,0615746416,https://www.domainedemontigny.fr/
LA CROISÉE DES POSSIBLES,CRÉPY-EN-VALOIS,60,contact@lacroiseedespossibles.com,0626809492,https://www.lacroiseedespossibles.com
LE CLOS BARISSEUSE,SAINT-VAAST-LÈS-MELLO,60,contact@closbarisseuse.com,0344668800,http://www.closbarisseuse.com/
ABBAYE DU GOLF DE LESIGNY,LÉSIGNY,77,reservation@hotelabbayedugolf.com,+33 1 60 02 25 26,https://www.hotelabbayedugolf.com/
AUX VIEUX REMPARTS,PROVINS,77,commercial@auxvieuxremparts.com,0164089400,https://www.auxvieuxremparts.com/fr/
CENTRE D,NANTEUIL-LÈS-MEAUX,77,kerievents@yahoo.fr,0650734353,https://centred77.fr/
CHÂTEAU DU MÉE,LE MÉE-SUR-SEINE,77,commercial@rcdm.fr,0181180000,https://www.rcdm.fr
DOMAINE DE LA PÉPINIÈRE,CHÂTENAY-SUR-SEINE,77,lapepiniere@hotmail.fr,0614574444,https://www.lapepiniere.info/
GRAND MAGIC HOTEL,MAGNY-LE-HONGRE,77,amandine.dectot@fabulous-hotels.com,0164179014,https://www.grand-magic-hotel.com/
LA FERME DE LA PETITE LOGE,LA HAUTE-MAISON,77,accueil@fermedelapetiteloge.com,0160256269,https://fermedelapetiteloge.com
NOVOTEL FONTAINEBLEAU URY,URY,77,h0384-sb@accor.com,0160712404,https://novotel.accor.com/novotel/fontainebleau
RELAIS SPA VAL D’EUROPE,CHESSY,77,meeting.chessy@relais-spa.com,0164173131,https://www.relais-spa.com/valdeurope/evenements-et-seminaires/
ROCK&BLEAU,NOISY-SUR-ÉCOLE,77,seminaire@rockandbleau.com,0160395434,https://www.rockandbleau.com/
AK BOWLING,MAUREPAS,78,pierre.antona@ak-bowling.com,0608093753,https://ak-bowling.com
CAZAUDEHORE,SAINT-GERMAIN-EN-LAYE,78,seminaires@cazaudehore.fr,0130616461,https://cazaudehore.fr/
CENTRE PORT ROYAL,SAINT-LAMBERT,78,commercial@centreportroyal.com,0130121712,https://www.centreportroyal.com/
CHATEAU DE VILLIERS-LE-MAHIEU,VILLIERS-LE-MAHIEU,78,src@lhtp.fr,01 34 87 44 25,https://www.lesmaisonsdecampagne.com/villiers-le-mahieu/
CHÂTEAU DES MESNULS (CHÂTEAUFORM'),LES MESNULS,78,gthevenot@chateauform.com,0177770193,https://www.chateauform.com/fr/maison/chateau-des-mesnuls/
CHATEAU DU BOIS DU ROCHER,JOUY-EN-JOSAS,78,chateauduboisdurocher@gmail.com,0685637195,http://www.chateauduboisdurocher.com
DOLCE WYNDHAM VERSAILLES,JOUY-EN-JOSAS,78,events@dolcehotelversailles.com,0173956000,https://www.dolcehotelversailles.com/
DOMAINE DE LA BUTTE RONDE,LA BOISSIÈRE-ÉCOLE,78,seminaire@domainedelabutteronde.com,684562586,https://www.domainedelabutteronde.fr/
DOMAINE DE LA ROCHE COULOIR,CHEVREUSE,78,seminaire@domainesevenements.com,01 87 43 00 10,https://www.larochecouloir.fr
GOLF DE L'ILE FLEURIE,CHATOU,78,commercial@golf-ilefleurie.com,0139522848,https://golf-ilefleurie.com/
GOLF DE LA VAUCOULEURS,CIVRY-LA-FORÊT,78,accueil@vaucouleurs.fr,0767139810,https://www.vaucouleurs.fr/
HÔTEL DU JEU DE PAUME,VERSAILLES,78,events@hotel-jeudepaume.fr,0130841400,https://www.hotel-jeudepaume.fr/
HÔTEL INN DESIGN PARIS ST QUENTIN EN YVELINES,MONTIGNY-LE-BRETONNEUX,78,w.bouissou@premium-hospitality.fr,0130144200,https://hotel-inn-paris-stquentin.fr/
LA FERME DE LA FAISANDERIE,VILLEPREUX,78,elissia@lafermedelafaisanderie.com,613426938,https://www.lafermedelafaisanderie.com
LA FERME DU MANET,MONTIGNY-LE-BRETONNEUX,78,olivia@fdm78.fr,0130123000,https://www.fdm78.fr/
LA FERME DU PRIEURÉ,RENNEMOULIN,78,elissia@lafermeduprieure.com,0613426938,https://www.google.com/search?client=safari&rls=en&q=ferme+du+prieur%C3%A9&ie=UTF-8&oe=UTF-8
LA SEIGNEURIE LEPIC,ANDRÉSY,78,cmaujonnet@maujonnetconsulting.com,0637749383,https://www.coworkingfelicite.com
LE BARN HOTEL,BONNELLES,78,events@lebarnhotel.com,0186380023,https://lebarnhotel.com/
LE RELAIS DE VOISINS,VOISINS-LE-BRETONNEUX,78,accueil@lerelaisdevoisins.com,0130441155,https://www.lerelaisdevoisins.com/
MAISON PRAIRIE BONHEUR,MAGNY-LES-HAMEAUX,78,annebonassies@wanadoo.fr,0130442608,https://chambres-hotes-prairie-bonheur.com
PALAIS DES CONGRÈS DE VERSAILLES,VERSAILLES,78,as@versaillespalaisdescongres.com,0611070164,https://www.versaillespalaisdescongres.com/
CHATEAU DE FARCHEVILLE,BOUVILLE,91,celine@chateaudefarcheville.com,160806364,https://chateaudefarcheville.com/
